Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S00151,Kenneth Mccormick,05-26-2018,Grade 1,+1-957-745-9765x55393
S00152,Hannah Baker,2017-12-30,Grade 5,753.218.2172x24296
S00153,Megan Noble,2014-07-06,Grade 2,001-381-959-6172x50580
S00154,Chris Robles,06-13-2012,Grade 4,001-287-237-5597x080
S00155,Sean Baker,2006-06-04,Grade 3,+1-787-416-9684x743
S00156,Joy Wilkins,2010-01-03,Grade 4,526-468-0151
S00157,Derrick Hall,2011-12-14,Grade 3,(310)810-9893
S00158,jordan compton,2017-08-18,Grade 3,665-811-6217x4175
S00159,Erika Johnson,2013-03-19,Grade 1,+1-959-683-5469
S00160,Robert Gibson,2017-02-22,Grade 5,(933)503-5929
S00161,Jill Valdez,2014-12-07,Grade 2,795.872.7881x0527
S00162,Robert Baxter,2017-10-11,Grade 3,001-863-830-8594x551
S00163,Ryan Gordon,09-01-2007,Grade 1,(773)740-2829
S00164,Angela Gregory,2012-01-06,Grade 2,001-891-678-9593x0460
S00165,Christina Parker,2008-04-11,Grade 4,+1-977-523-3238x06614
S00166,Melissa Williams,11-22-2011,Grade 5,(469)300-5323x87878
S00167,Mrs. Jody Campbell,2016-08-17,Grade 5,001-686-784-4423x112
S00168,Abigail Ochoa,2018-10-25,Grade 1,(368)454-1821x04368
S00169,Susan Lloyd,05-08-2015,Grade 3,001-274-287-3477x95645
S00170,Krista Stewart,2014-03-16,Grade 5,(896)209-8455x29533
S00171,James Davila,2017-10-29,Grade 2,(688)489-9712x0262
S00172,Julia Barnes,2008-09-07,Grade 2,(601)455-2938x238
S00173,Gregory Santos,2013-08-20,Grade 3,(241)669-8148x705
S00174,Michael Smith,2015-12-24,Grade 2,681.424.0282
S00175,Cynthia Torres MD,2007-03-31,Grade 4,800-949-7526
S00176,Tyler Adams,2010-10-29,Grade 3,667.534.7289x3502
S00177,rachel morgan,02-15-2008,Grade 1,270-747-7816
S00178,Jessica Roberson,2013-08-02,Grade 1,(260)676-8371x68947
S00179,Christopher Carter,2018-09-03,Grade 3,(510)575-9055
S00180,Carla Allen,2016-07-19,Grade 5,531.749.0576x22563
S00181,Gregory Davis,05-13-2014,Grade 4,001-303-803-6153x296
S00182,Jimmy Mcintosh,2012-10-28,Grade 1,+1-435-633-7347x300
S00183,John Tyler,12-01-2018,Grade 2,561.396.9968x990
S00184,Mathew Thomas,05-29-2015,Grade 5,546.917.5688
S00185,Roy Booth,2012-07-16,Grade 2,+1-903-789-9676x5480
S00186,Holly Moore,2012-01-04,Grade 5,718-580-3296x7478
S00187,John Williams,2018-07-17,Grade 4,828-813-7149
S00188,Jeffrey Barnes,2007-10-24,Grade 2,001-945-460-9376x3464
S00189,Morgan Diaz,2018-03-02,Grade 2,520-367-1169
S00190,Daniel Baxter,2011-12-04,Grade 5,234-764-3911x11140
S00191,Samantha Jackson,2018-07-30,Grade 2,+1-790-429-5919
S00192,Christy Frazier,2011-12-19,Grade 2,(970)453-3104x56607
S00193,Molly Davis,2014-08-05,Grade 4,5124777785
S00194,barbara frederick,2018-05-22,Grade 4,(706)342-9995x1816
S00195,Rita Sosa,2017-01-05,Grade 4,+1-518-233-3212x61085
S00196,Anna Good,2011-12-07,Grade 3,679.646.8286
S00197,John Mclaughlin,2014-05-25,Grade 2,(343)333-2472x10828
S00198,Haley Young,04-23-2013,Grade 5,001-704-518-1533x29368
S00199,Renee Hunt,2012-10-06,Grade 3,+1-594-219-9144x5443
S00200,Daniel Stewart,2012-02-17,Grade 4,001-305-566-2294x5737
S00201,Thomas Pugh,2013-02-16,Grade 5,001-264-519-1497x5267
S00202,Laura Smith,2007-04-28,Grade 5,001-645-566-2214
S00203,Andrew Shepard,2012-01-07,Grade 1,001-557-429-5075x77641
S00204,April Mann,09-18-2006,Grade 4,207-833-3085x876
S00205,Danielle Carter,2010-04-23,Grade 3,(433)366-0330x826
S00206,suzanne gilbert,2007-07-28,Grade 1,206-978-0922x211
S00207,Samantha Phillips,2018-06-23,Grade 5,2649115307
S00208,Troy Dudley,2014-02-02,Grade 4,503-749-2823x815
S00209,Daniel Bennett,2010-04-17,Grade 4,721-981-9285
S00210,Brenda Butler,2011-07-25,Grade 4,+1-523-771-7577x9540
S00211,Jessica West,2013-07-11,Grade 5,893-397-0073x2346
S00212,Kristin Drake,2008-10-22,Grade 1,
S00213,William Patterson,08-13-2014,Grade 5,649-445-1660
S00214,Allison Cruz,2016-01-01,Grade 2,805.208.5816
S00215,Marie Carter,09-16-2015,Grade 2,001-727-486-8639x877
S00216,Stephen Vaughn,2017-10-25,Grade 3,(658)363-4611x8929
S00217,Donna Taylor,2015-09-22,Grade 4,321.887.8509x8401
S00218,Lisa Cooley,2015-12-02,Grade 1,001-272-535-1555
S00219,Jonathan Ward,2014-01-01,Grade 1,001-375-505-5283x749
S00220,Wanda Sanchez,2007-08-31,Grade 1,001-714-469-7556x5445
S00221,christopher maynard,2016-08-22,Grade 3,6376071193
S00222,Juan Richard,04-18-2017,Grade 3,810-839-3427
S00223,bob mccall,06-30-2015,Grade 1,(657)728-0571x045
S00224,Jennifer Malone,2011-10-20,Grade 3,(525)663-5545x82012
S00225,Dennis Ibarra,2009-09-14,Grade 3,001-570-410-7520
S00226,Jessica Garcia,08-30-2007,Grade 4,363.549.7552
S00227,Nicholas Wright,2008-04-16,Grade 3,646.560.0649x02718
S00228,Glenn Ashley,2017-06-23,Grade 3,726-345-0839x3632
S00229,Debbie Cooper,2015-07-26,Grade 3,2002173660
S00230,Christopher Haynes,2011-05-19,Grade 1,497-228-2883x20003
S00231,Lisa Cross,02-15-2014,Grade 1,717.767.0860
S00232,Clayton Luna,2007-01-26,Grade 4,001-318-352-4768x11966
S00233,Stephanie Murphy,07-16-2012,Grade 5,+1-774-762-6662x94777
S00234,Ronald Wood,2018-04-10,Grade 3,(333)546-0697
S00235,Christine Dorsey,10-03-2009,Grade 3,782-236-5011
S00236,Anne Waters,2006-04-07,Grade 2,682-416-8169x511
S00237,Robert Williams,2018-03-09,Grade 1,3642413213
S00238,Jason Fox,2013-04-02,Grade 4,448-664-9894
S00239,Sean Lane,2010-11-22,Grade 3,001-324-865-2857x931
S00240,Eric Baxter,2018-06-17,Grade 3,001-484-811-0130
S00241,Maria Allen,01-27-2009,Grade 2,001-453-440-8320
S00242,Sean Brooks,2018-08-02,Grade 4,(557)289-8325
S00243,Michael Shepard,2009-11-02,Grade 1,001-673-502-6368
S00244,Taylor Davis,2007-04-05,Grade 4,(384)731-4544x38746
S00245,William Norton,2009-03-14,Grade 5,307-422-1352x0283
S00246,Jeffery Smith,2015-02-07,Grade 4,(511)930-8599x9177
S00247,Brittany Mccarthy,2007-07-15,Grade 4,+1-891-914-3142
S00248,Susan Turner,2014-04-05,Grade 2,928.455.0769x80479
S00249,Steven Smith,2010-05-20,Grade 2,241-547-8604
S00250,William Logan,2007-10-14,Grade 5,(429)396-8256x59884
S00251,Amy Simon,2014-09-27,Grade 2,(234)481-0848
S00252,Michelle Murphy,2012-07-07,Grade 5,(250)952-7519x2734
S00253,Clifford Bentley,2016-11-27,Grade 2,001-829-396-0463x5857
S00254,Daniel Bender,2010-05-16,Grade 4,001-249-996-1585x28916
S00255,Spencer Wilson,2017-01-01,Grade 1,001-651-459-2147x454
S00256,Belinda Holt,2006-09-11,Grade 2,230.522.1382
S00257,Ralph Kelly,2016-12-09,Grade 1,(696)272-4744
S00258,Michael Levine,03-01-2017,Grade 4,(307)307-0939
S00259,Ashley Nicholson,2009-06-06,Grade 3,739-959-0159
S00260,Caitlyn Davis,2011-07-16,Grade 4,(302)867-9917x3565
S00261,Kevin Smith,2017-03-30,Grade 1,001-969-500-0112
S00262,Kyle Luna,2012-12-01,Grade 3,339.313.4903
S00263,dawn hodge,2008-08-26,Grade 5,+1-371-803-6019x85442
S00264,Antonio Chung,2009-07-09,Grade 2,756.484.0271
S00265,tracy chandler,2008-08-11,Grade 3,+1-488-998-5404x29392
S00266,Kimberly Mercer,2019-02-04,Grade 3,656-516-3590x200
S00267,laura mcdonald,09-10-2006,Grade 3,001-409-269-6055x61523
S00268,Shawn Owens,2014-02-11,Grade 1,+1-576-442-0241x658
S00269,Michael Flores,03-15-2013,Grade 2,
S00270,Katherine Gill,2010-05-07,Grade 2,(607)343-5848x378
S00271,Todd Anderson,2010-10-21,Grade 1,+1-714-998-1989x7647
S00272,Nicholas Boone,2013-03-03,Grade 3,+1-962-556-7663x579
S00273,Natalie Burke,2014-09-07,Grade 1,001-666-687-4187
S00274,William Wilkerson,2013-02-04,Grade 3,
S00275,Christopher Turner,2013-06-12,Grade 2,+1-380-412-8990x924
S00276,Megan Flores,2018-12-25,Grade 3,(761)315-0354x9210
S00277,Cheryl Mason,2016-04-21,Grade 4,744.605.2373
S00278,Matthew Mejia,2014-05-03,Grade 5,+1-885-808-8424x487
S00279,Mr. Michael Stewart,06-14-2008,Grade 3,756-456-4599x54183
S00280,Christopher Lopez,2011-09-07,Grade 4,+1-514-575-5938x1699
S00281,Kimberly Woods,2018-02-19,Grade 1,+1-788-448-5766x13591
S00282,James Fuller,2016-08-29,Grade 3,3514503724
S00283,Keith Booker,2011-09-27,Grade 5,462.559.6562
S00284,Cheryl Green,2009-06-26,Grade 4,001-798-466-2186x4297
S00285,Chad Wood,2012-04-10,Grade 5,993-249-9121
S00286,Martha Perez,08-19-2007,Grade 3,(996)697-4699x7295
S00287,Michael Price,2006-11-18,Grade 3,266-863-7574
S00288,Gary Hudson,2006-11-21,Grade 4,502-708-6285x226
S00289,Timothy Hall,2008-07-01,Grade 3,001-264-771-4878
S00290,James Camacho,2007-11-14,Grade 5,(635)518-9356x07862
S00291,Victoria Tucker,2013-06-27,Grade 4,926.830.9225x170
S00292,danny johnson,2016-03-27,Grade 3,610-645-4882
S00293,Denise Ramsey,2012-11-15,Grade 3,
S00294,Michelle Barker,2016-07-07,Grade 5,001-314-557-2806
S00295,Kyle Lynch,2012-11-15,Grade 4,(262)631-6941x220
S00296,tracey murphy,2014-02-20,Grade 2,840.331.7845x984
S00297,Jeremy Ferguson,2014-06-21,Grade 4,478-672-6584x0960
S00298,Jeffery Gilmore,2017-03-20,Grade 3,(325)581-3080
S00299,Laura Smith,2011-01-16,Grade 1,913.401.4861x52246
S00300,Ms. Karen Thomas MD,2007-06-13,Grade 2,+1-760-286-9971
S00301,Vanessa Anderson,2014-07-13,Grade 3,501-423-1521x4109
S00302,Dr. Valerie Black,2016-01-17,Grade 1,
S00303,Abigail Price,2006-11-01,Grade 2,+1-891-921-1661x00937
S00304,Scott Fleming,2013-04-14,Grade 1,+1-673-773-3905x982
S00305,Victoria Chambers,2006-07-11,Grade 5,001-630-432-4098
S00306,Matthew Butler,2008-01-24,Grade 2,(230)208-4513x51242
S00307,Christine Daniel,10-22-2014,Grade 1,694.249.3882
S00308,Grace Hardy,2007-06-18,Grade 2,001-336-679-5747x854
S00309,Emma Thompson,2009-07-20,Grade 3,229.280.9049
S00310,christopher henry,02-06-2016,Grade 2,+1-379-211-6066x49207
S00311,Alexandra King,2010-08-04,Grade 4,5418616241
S00312,Henry Rhodes,2015-12-09,Grade 2,001-449-400-8653x305
S00313,Angela Davis,2012-04-27,Grade 2,+1-996-954-2014x44063
S00314,Shane Olson,07-30-2018,Grade 3,575-337-4190x8246
S00315,martin buck,2017-09-07,Grade 1,846-277-2933x880
S00316,Taylor Ferguson,2017-07-30,Grade 5,363.919.2666x3133
S00317,Kelsey Jones,2018-04-02,Grade 1,537.471.5009x643
S00318,Matthew Bass,2006-09-26,Grade 5,572.695.5618
S00319,Katherine Woods,2014-12-05,Grade 5,001-419-328-3771
S00320,Tony Hill,2014-01-01,Grade 3,624.750.5412x486
S00321,Gina Thomas,2013-08-15,Grade 4,
S00322,bryan johnson,11-18-2013,Grade 5,(250)348-9737x069
S00323,kathleen ewing,2007-07-29,Grade 1,880.323.2479x78369
S00324,brandon ewing,2012-05-17,Grade 4,220.238.7955x8518
S00325,Robert Lopez,01-04-2012,Grade 1,7094558444
S00326,Adrian Smith,2014-02-09,Grade 3,
S00327,john james,05-23-2007,Grade 4,(382)292-7448
S00328,Janice Carter,2013-12-15,Grade 3,(374)813-1643
S00329,Mary Mendez,2015-02-04,Grade 5,881.380.4666
S00330,Christopher Anderson,2013-05-24,Grade 4,+1-516-259-9758x518
S00331,Andre Bruce,10-06-2015,Grade 4,8045845885
S00332,Cynthia Hayden,2016-05-06,Grade 3,(814)730-5776
S00333,Debra Zhang,2018-02-18,Grade 2,9207149046
S00334,Jacob Thomas,2018-07-17,Grade 3,
S00335,Jessica Kim,2018-03-01,Grade 4,772.244.3313x0822
S00336,Kristin Blake,2008-11-04,Grade 3,803.963.1286x51923
S00337,Laura Ramirez,2007-03-04,Grade 1,+1-512-445-6206x4650
S00338,mark vega,2013-02-24,Grade 4,6364023798
S00339,Hannah Black,2015-04-25,Grade 5,+1-364-491-7527x51134
S00340,Daniel Santos Jr.,2016-03-22,Grade 3,272-854-3014
S00341,Brittany Gonzales,03-18-2017,Grade 5,3837742751
S00342,Roberto Lowe,2017-04-15,Grade 4,5912796050
S00343,Aaron Edwards,2010-05-30,Grade 1,459.591.0894x6660
S00344,Nicholas Hickman,2012-12-31,Grade 3,799-640-4267x2583
S00345,Ronald Sullivan,2009-12-06,Grade 1,425-209-0599
S00346,Todd Day,2018-05-12,Grade 2,(720)886-8293
S00347,Debbie Brooks,2018-03-17,Grade 4,(931)438-9442x09684
S00348,Lauren Hansen,2009-11-01,Grade 4,971.980.9492
S00349,Elizabeth Mitchell,2007-03-18,Grade 2,687.280.4805
S00350,Vanessa Ryan,2009-05-03,Grade 5,453.265.4168x810
S00351,Charlene Henry,08-09-2008,Grade 3,001-347-309-4819x88986
S00352,Laura Bailey,2010-11-25,Grade 1,391-497-3088
S00353,Mary Schneider,2014-11-25,Grade 3,2072847846
S00354,Shawna Johnson,2007-03-29,Grade 5,001-532-880-7552x3135
S00355,Elizabeth Cruz,2007-06-08,Grade 5,+1-936-761-6582x16209
S00356,Christine Shaw,07-19-2014,Grade 5,234-772-5348
S00357,Melissa Mathis,2008-03-03,Grade 5,(305)841-5452x341
S00358,Steven Jackson,2012-02-11,Grade 2,980-869-3884x10686
S00359,Anna Lee,2015-02-19,Grade 1,(899)306-8746
S00360,Zachary Nguyen,2011-11-10,Grade 4,3217082166
S00361,John Anderson,2019-02-12,Grade 1,
S00362,Donald Taylor,2016-09-23,Grade 4,(832)941-0727
S00363,Brian Henry,01-02-2013,Grade 3,9487320106
S00364,Dr. Brett Hall,2010-06-10,Grade 2,8382537204
S00365,Michael Glass,11-25-2008,Grade 3,(995)337-7703x5266
S00366,Karen Bowman,11-23-2009,Grade 2,(361)714-5163
S00367,Sean Miller,2014-01-30,Grade 1,231-775-5967x81773
S00368,Beth Hammond,2012-03-27,Grade 2,751.485.8130
S00369,Haley Fox,01-19-2017,Grade 2,7419488914
S00370,Christopher Knox,2017-03-06,Grade 1,730.387.4971
S00371,Kyle Smith,2015-11-13,Grade 1,(872)940-9360x86789
S00372,Laura Lopez,2013-07-16,Grade 4,+1-680-492-7358
S00373,Lisa Gray,2013-09-09,Grade 4,+1-399-535-5789x439
S00374,Jessica Price,2017-10-14,Grade 1,646.860.8453
S00375,George Hunter,11-22-2013,Grade 4,(869)850-6842
S00376,Sheryl Lopez DDS,12-31-2016,Grade 5,647.482.9522x7880
S00377,Christina King,2014-01-24,Grade 1,577.261.4710
S00378,William Baker,2016-10-20,Grade 1,415.402.2549x3144
S00379,William White,2006-06-01,Grade 3,+1-921-867-1952x37917
S00380,jamie butler,2010-06-20,Grade 2,
S00381,Dana Robinson,2013-07-04,Grade 1,552-681-6994x5776
S00382,David Cline,01-13-2019,Grade 1,
S00383,Kristi Allen,2014-10-09,Grade 1,(823)499-7234x728
S00384,Melissa Moore,2009-06-06,Grade 4,001-589-931-1524
S00385,Alicia Gonzalez,2009-12-03,Grade 2,570.833.8817x312
S00386,Christopher Wallace,2013-02-18,Grade 1,929.583.1673x770
S00387,Christopher Neal,2008-09-18,Grade 1,308.609.6304
S00388,Grant Maddox,2011-12-22,Grade 2,981.484.7611x46410
S00389,Cameron Gibson,2018-06-19,Grade 1,(221)288-4630x396
S00390,Kimberly Young,2018-09-09,Grade 2,+1-270-404-4954x2565
S00391,Shelly Garner,2009-10-14,Grade 4,+1-301-578-5593x28873
S00392,Amanda Wood,2009-07-03,Grade 2,325-307-8560x4498
S00393,Stacey Gutierrez,12-21-2012,Grade 3,
S00394,Steven Barnes,2009-12-23,Grade 4,666-527-9237x49105
S00395,Deborah Russo,2014-08-30,Grade 3,4743138638
S00396,Jeremy Li,2015-05-16,Grade 1,246-255-8338x0462
S00397,mario pena,2013-09-19,Grade 2,+1-521-378-9806x43305
S00398,brian little,2018-02-04,Grade 3,(959)658-1376x65266
S00399,Jennifer Johnson,2012-05-27,Grade 1,001-323-873-1770x14109
S00400,Ashley Olsen,2008-03-15,Grade 1,001-908-644-3786x1955
S00401,Justin Vang,2007-10-27,Grade 3,959.297.5406x925
S00402,Brian Johnston,2013-06-04,Grade 4,001-782-310-1431
S00403,Clinton Moss,2009-01-31,Grade 1,+1-303-929-3017x74504
S00404,Stacie Jordan,2010-03-15,Grade 5,543-931-0299x2602
S00405,Kyle Silva,2007-02-19,Grade 2,001-335-495-6512x1006
S00406,gregory smith,2015-09-25,Grade 5,+1-363-517-4301
S00407,Samantha Martin,2011-04-05,Grade 1,(228)842-3513
